merchant_id,industry,signup_date,avg_ticket_size,weekly_txn_rate,decline_rate
MCH100408,Marketplace,2025-12-24,21.55,5.26,0.0315
MCH100409,E-commerce Retail,2024-08-26,102.13,1.67,0.0402
MCH100410,Subscription / SaaS,2025-02-17,62.41,1.63,0.0986
MCH100411,Utilities & Billing,2026-04-19,540.44,1.52,0.2004
MCH100412,Utilities & Billing,2025-09-08,13.72,0.85,0.0727
MCH100413,Travel & Hospitality,2025-07-19,37.83,9.51,0.0815
MCH100414,Professional Services,2026-01-11,9.18,1.12,0.0066
MCH100415,Food & Beverage,2025-01-10,5.0,4.02,0.1157
MCH100416,Subscription / SaaS,2026-04-09,75.39,1.27,0.036
MCH100417,Subscription / SaaS,2025-12-16,60.14,1.53,0.1475
MCH100418,Professional Services,2025-11-30,15.57,2.19,0.0651
MCH100419,Digital Goods,2025-01-01,40.17,4.24,0.1114
MCH100420,Digital Goods,2025-04-18,19.51,1.9,0.053
MCH100421,Digital Goods,2025-05-31,22.33,0.79,0.0704
MCH100422,E-commerce Retail,2024-10-24,26.57,2.51,0.1191
MCH100423,Food & Beverage,2024-08-18,14.93,1.14,0.0227
MCH100424,E-commerce Retail,2026-05-16,17.87,11.52,0.037
MCH100425,Travel & Hospitality,2024-09-20,18.39,1.9,0.0201
MCH100426,Food & Beverage,2025-05-29,55.86,1.26,0.0616
MCH100427,Marketplace,2026-01-08,5.0,17.72,0.0647
MCH100428,Subscription / SaaS,2025-05-31,29.15,5.15,0.2552
MCH100429,E-commerce Retail,2025-12-14,12.33,1.0,0.0919
MCH100430,E-commerce Retail,2025-02-06,12.79,1.12,0.0183
MCH100431,Digital Goods,2026-03-27,21.64,3.95,0.0303
MCH100432,Travel & Hospitality,2025-05-19,36.08,2.57,0.0592
MCH100433,E-commerce Retail,2024-07-03,29.54,5.99,0.0264
MCH100434,E-commerce Retail,2026-05-25,12.63,1.27,0.1201
MCH100435,Professional Services,2025-01-22,75.32,4.96,0.0229
MCH100436,E-commerce Retail,2024-08-09,14.84,0.26,0.0334
MCH100437,Digital Goods,2024-08-28,17.55,2.11,0.0146
MCH100438,Professional Services,2026-01-25,48.64,1.33,0.0281
MCH100439,E-commerce Retail,2026-04-05,50.42,1.56,0.0285
MCH100440,E-commerce Retail,2025-11-19,19.85,2.22,0.0598
MCH100441,Utilities & Billing,2026-01-23,5.0,7.68,0.0272
MCH100442,Subscription / SaaS,2024-10-30,15.1,0.78,0.0506
MCH100443,Subscription / SaaS,2025-10-22,43.03,0.28,0.0724
MCH100444,Digital Goods,2026-03-11,72.86,0.87,0.1712
MCH100445,Utilities & Billing,2024-10-04,33.81,6.84,0.0668
MCH100446,Utilities & Billing,2025-08-18,22.67,0.47,0.0977
MCH100447,Digital Goods,2025-02-20,362.57,1.39,0.1286
MCH100448,Subscription / SaaS,2024-08-31,25.22,5.69,0.1519
MCH100449,E-commerce Retail,2025-03-13,67.51,2.32,0.0332
MCH100450,Digital Goods,2026-01-12,9.63,7.6,0.071
MCH100451,Travel & Hospitality,2025-06-13,12.3,0.32,0.0217
MCH100452,Food & Beverage,2026-05-02,69.92,1.78,0.0523
MCH100453,Marketplace,2024-11-01,104.02,9.37,0.0152
MCH100454,E-commerce Retail,2025-10-25,24.79,0.8,0.1723
MCH100455,Food & Beverage,2025-05-13,5.76,6.92,0.0197
MCH100456,E-commerce Retail,2025-11-16,30.95,1.94,0.0831
MCH100457,Food & Beverage,2024-08-17,44.23,3.8,0.0133
MCH100458,E-commerce Retail,2025-08-13,40.4,8.71,0.0894
MCH100459,E-commerce Retail,2024-11-13,20.83,3.78,0.0782
MCH100460,E-commerce Retail,2025-01-17,31.41,1.36,0.0937
MCH100461,Professional Services,2025-03-07,17.29,4.31,0.0304
MCH100462,Digital Goods,2025-05-10,12.04,1.27,0.1974
MCH100463,Travel & Hospitality,2025-07-03,77.92,3.23,0.0654
MCH100464,Utilities & Billing,2025-09-02,40.36,0.7,0.0127
MCH100465,Subscription / SaaS,2025-10-23,31.48,2.53,0.0531
MCH100466,Subscription / SaaS,2025-05-10,22.04,8.08,0.2352
MCH100467,Marketplace,2025-11-12,30.56,1.82,0.0701
MCH100468,E-commerce Retail,2025-06-20,42.96,7.34,0.0839
MCH100469,Utilities & Billing,2025-10-28,206.17,54.24,0.0166
MCH100470,E-commerce Retail,2025-01-27,70.42,2.39,0.0677
MCH100471,Utilities & Billing,2024-08-13,18.8,4.55,0.014
MCH100472,E-commerce Retail,2025-12-23,19.0,3.96,0.0953
MCH100473,Marketplace,2026-01-22,16.25,3.08,0.0518
MCH100474,Food & Beverage,2026-02-03,29.95,5.41,0.0652
MCH100475,Utilities & Billing,2024-09-30,16.24,1.92,0.0886
MCH100476,E-commerce Retail,2025-03-22,58.84,1.27,0.031
MCH100477,Travel & Hospitality,2025-02-05,5.0,0.53,0.0726
MCH100478,Utilities & Billing,2025-09-15,62.5,1.75,0.1303
MCH100479,Food & Beverage,2025-08-05,48.2,6.06,0.0534
MCH100480,Professional Services,2025-08-04,129.38,0.96,0.0514
MCH100481,Professional Services,2026-01-27,87.95,3.15,0.0122
MCH100482,Food & Beverage,2025-11-02,18.47,2.17,0.036
MCH100483,Professional Services,2025-10-28,78.59,1.32,0.0125
MCH100484,Travel & Hospitality,2025-10-13,30.94,0.39,0.0112
MCH100485,Marketplace,2026-01-25,5.29,9.61,0.0217
MCH100486,E-commerce Retail,2026-05-13,42.9,4.13,0.0572
MCH100487,Subscription / SaaS,2025-09-18,19.6,35.35,0.0329
MCH100488,Utilities & Billing,2025-03-26,36.61,7.24,0.0183
MCH100489,Marketplace,2025-03-24,190.84,9.4,0.0321
MCH100490,Food & Beverage,2024-08-23,45.82,0.43,0.0477
MCH100491,Professional Services,2025-12-10,13.23,0.42,0.0282
MCH100492,Subscription / SaaS,2025-12-02,96.01,2.57,0.0907
MCH100493,E-commerce Retail,2026-03-08,52.59,0.78,0.0708
MCH100494,Food & Beverage,2024-08-28,11.76,1.24,0.0278
MCH100495,Subscription / SaaS,2024-08-09,7.34,30.76,0.2448
MCH100496,Travel & Hospitality,2025-02-22,13.77,8.08,0.0974
MCH100497,E-commerce Retail,2025-07-21,84.46,0.96,0.0692
MCH100498,Utilities & Billing,2026-02-26,27.07,0.23,0.0468
MCH100499,Utilities & Billing,2026-04-11,39.69,0.89,0.0117
MCH100500,Professional Services,2025-04-26,9.6,1.41,0.0056
MCH100501,Food & Beverage,2025-07-30,86.77,1.78,0.0109
MCH100502,Subscription / SaaS,2025-01-23,5.0,0.68,0.0979
MCH100503,Digital Goods,2025-06-01,19.0,7.61,0.0645
MCH100504,Professional Services,2026-02-13,55.62,1.21,0.0755
MCH100505,E-commerce Retail,2025-11-26,11.91,4.7,0.0482
MCH100506,Marketplace,2024-12-25,67.64,2.6,0.0186
MCH100507,Digital Goods,2025-07-31,15.35,6.29,0.0512
MCH100508,Utilities & Billing,2025-07-06,10.74,1.94,0.0679
MCH100509,Professional Services,2026-04-19,132.49,0.98,0.005
MCH100510,Travel & Hospitality,2025-05-14,42.69,1.35,0.0657
MCH100511,Food & Beverage,2025-07-04,61.5,1.37,0.0376
MCH100512,Marketplace,2025-07-19,101.31,19.39,0.0842
MCH100513,Marketplace,2024-08-31,5.0,2.66,0.0974
MCH100514,E-commerce Retail,2025-11-17,69.05,2.47,0.0365
MCH100515,E-commerce Retail,2025-02-24,17.1,5.94,0.0603
MCH100516,Subscription / SaaS,2025-01-11,19.51,2.46,0.1195
MCH100517,Digital Goods,2026-05-09,56.68,7.55,0.1032
MCH100518,Utilities & Billing,2025-02-07,25.46,1.7,0.095
MCH100519,E-commerce Retail,2024-08-30,66.32,1.53,0.1064
MCH100520,Travel & Hospitality,2024-11-06,35.13,0.92,0.1882
MCH100521,Food & Beverage,2026-05-16,43.3,15.64,0.0691
MCH100522,Utilities & Billing,2024-12-03,22.42,2.29,0.0975
MCH100523,Marketplace,2025-07-13,12.62,0.76,0.1377
MCH100524,Digital Goods,2026-03-14,17.46,2.99,0.038
MCH100525,Food & Beverage,2026-02-06,33.02,1.28,0.0438
MCH100526,Food & Beverage,2025-09-10,229.81,1.67,0.0512
MCH100527,Subscription / SaaS,2025-01-23,159.48,3.36,0.0587
MCH100528,E-commerce Retail,2025-07-23,19.04,11.26,0.0468
MCH100529,Marketplace,2025-10-23,38.87,2.72,0.0137
MCH100530,Digital Goods,2025-06-05,27.45,1.21,0.193
MCH100531,Utilities & Billing,2025-06-05,41.69,1.48,0.0153
MCH100532,Utilities & Billing,2025-01-20,47.41,4.74,0.0734
MCH100533,Travel & Hospitality,2024-12-08,62.02,0.35,0.124
MCH100534,Digital Goods,2025-12-22,5.0,0.87,0.1348
MCH100535,Utilities & Billing,2025-07-27,52.8,3.04,0.0067
MCH100536,Marketplace,2026-05-08,24.56,0.45,0.0312
MCH100537,Subscription / SaaS,2026-01-26,18.08,1.8,0.0191
MCH100538,Food & Beverage,2025-12-16,80.98,1.52,0.0236
MCH100539,E-commerce Retail,2024-09-08,158.67,5.91,0.0324
MCH100540,Utilities & Billing,2025-08-09,72.89,1.92,0.019
MCH100541,Travel & Hospitality,2026-02-28,21.79,8.06,0.0732
MCH100542,E-commerce Retail,2026-05-06,12.48,2.66,0.0242
MCH100543,Professional Services,2026-02-11,5.0,14.53,0.0445
MCH100544,Travel & Hospitality,2025-11-29,43.93,0.61,0.1185
MCH100545,Subscription / SaaS,2024-10-28,65.3,12.39,0.1315
MCH100546,E-commerce Retail,2026-05-21,33.05,1.63,0.1863
MCH100547,Professional Services,2026-05-19,93.11,10.74,0.0145
MCH100548,Food & Beverage,2025-02-02,9.77,8.05,0.0121
MCH100549,Digital Goods,2024-08-25,30.84,0.14,0.1537
MCH100550,Food & Beverage,2025-07-01,28.49,3.97,0.0622
MCH100551,Marketplace,2026-05-30,32.78,6.67,0.0677
MCH100552,Travel & Hospitality,2025-11-16,117.68,9.29,0.0617
MCH100553,Travel & Hospitality,2025-09-28,32.96,0.76,0.0542
MCH100554,Marketplace,2024-10-12,27.25,4.44,0.0169
MCH100555,Food & Beverage,2024-09-15,14.34,2.99,0.038
MCH100556,E-commerce Retail,2025-02-15,138.18,3.79,0.0823
MCH100557,E-commerce Retail,2025-03-15,8.75,6.68,0.0158
MCH100558,Digital Goods,2025-03-21,21.05,7.82,0.062
MCH100559,Professional Services,2025-05-27,199.13,1.28,0.0239
MCH100560,Professional Services,2024-12-29,58.45,3.21,0.019
MCH100561,E-commerce Retail,2026-01-01,35.87,2.56,0.025
MCH100562,E-commerce Retail,2026-05-19,37.4,1.94,0.067
MCH100563,E-commerce Retail,2024-07-27,14.21,2.13,0.074
MCH100564,Subscription / SaaS,2025-04-02,34.17,2.99,0.0653
MCH100565,Travel & Hospitality,2026-04-13,25.79,1.35,0.0411
MCH100566,Food & Beverage,2025-04-25,43.8,5.95,0.0341
MCH100567,Food & Beverage,2024-09-29,8.12,8.75,0.0196
MCH100568,Marketplace,2025-10-23,54.48,1.08,0.0862
MCH100569,Subscription / SaaS,2026-01-24,101.15,9.19,0.125
MCH100570,Food & Beverage,2025-10-01,29.85,1.08,0.0417
MCH100571,Digital Goods,2025-09-24,69.9,6.04,0.0622
MCH100572,Food & Beverage,2025-06-30,49.92,9.17,0.0735
MCH100573,Professional Services,2026-05-06,19.93,2.24,0.0345
MCH100574,Marketplace,2025-06-16,12.7,1.09,0.0179
MCH100575,Utilities & Billing,2026-04-16,14.61,1.37,0.0699
MCH100576,E-commerce Retail,2025-08-04,49.05,3.53,0.2148
MCH100577,Marketplace,2025-03-10,34.6,17.54,0.1697
MCH100578,Food & Beverage,2025-10-02,130.99,0.45,0.0257
MCH100579,Subscription / SaaS,2026-05-30,80.71,2.72,0.1073
MCH100580,Food & Beverage,2025-11-11,80.54,2.25,0.0148
MCH100581,Utilities & Billing,2025-11-20,47.61,1.56,0.06
MCH100582,Food & Beverage,2025-04-30,13.98,2.27,0.0455
MCH100583,Subscription / SaaS,2025-11-13,50.67,1.43,0.0564
MCH100584,Professional Services,2026-02-18,39.01,8.53,0.0441
MCH100585,Subscription / SaaS,2024-12-13,11.72,9.42,0.1937
MCH100586,E-commerce Retail,2025-08-19,122.73,2.69,0.015
MCH100587,E-commerce Retail,2025-10-05,110.2,2.14,0.0235
MCH100588,E-commerce Retail,2024-10-22,11.66,1.5,0.1358
MCH100589,E-commerce Retail,2025-09-06,19.34,2.69,0.0811
MCH100590,E-commerce Retail,2025-06-21,21.12,15.61,0.0151
MCH100591,Professional Services,2026-05-26,67.35,2.22,0.0294
MCH100592,E-commerce Retail,2025-01-23,60.02,1.06,0.0418
MCH100593,Subscription / SaaS,2025-02-20,38.26,1.65,0.1039
MCH100594,Marketplace,2025-09-15,48.13,5.23,0.0656
MCH100595,Food & Beverage,2025-06-20,10.1,1.2,0.121
MCH100596,Professional Services,2025-11-27,53.59,2.38,0.005
MCH100597,E-commerce Retail,2025-01-24,33.09,3.95,0.0307
MCH100598,E-commerce Retail,2024-11-02,18.56,1.29,0.0126
MCH100599,E-commerce Retail,2024-11-15,7.9,0.42,0.1374
MCH100600,E-commerce Retail,2025-06-04,37.6,0.84,0.0611
MCH100601,Subscription / SaaS,2025-12-19,52.3,1.04,0.0442
MCH100602,E-commerce Retail,2024-09-06,6.67,1.96,0.0681
MCH100603,E-commerce Retail,2026-01-24,37.28,2.57,0.005
MCH100604,E-commerce Retail,2025-12-23,41.36,5.61,0.0641
MCH100605,Food & Beverage,2025-07-18,21.03,0.72,0.0799
MCH100606,E-commerce Retail,2024-07-19,53.51,4.85,0.1904
MCH100607,Subscription / SaaS,2026-05-14,32.05,1.7,0.0313
MCH100608,Food & Beverage,2025-09-23,48.58,0.41,0.0133
MCH100609,Professional Services,2024-09-12,62.44,2.49,0.0355
MCH100610,E-commerce Retail,2026-01-24,62.48,9.17,0.1341
MCH100611,Digital Goods,2026-04-26,101.17,5.95,0.0985
MCH100612,Professional Services,2025-04-02,51.33,2.28,0.022
MCH100613,E-commerce Retail,2024-08-17,22.71,7.58,0.0848
MCH100614,Marketplace,2025-01-27,19.15,2.98,0.1141
MCH100615,Marketplace,2026-04-12,12.64,6.56,0.0626
MCH100616,E-commerce Retail,2026-03-14,42.57,0.47,0.1222
MCH100617,Subscription / SaaS,2026-05-26,137.18,0.7,0.1062
MCH100618,Digital Goods,2025-12-22,25.57,5.1,0.0855
MCH100619,Digital Goods,2025-01-07,57.37,11.46,0.1453
MCH100620,E-commerce Retail,2025-05-11,17.25,3.73,0.0524
MCH100621,E-commerce Retail,2026-01-14,44.47,1.5,0.0567
MCH100622,Subscription / SaaS,2026-04-22,128.94,1.05,0.0178
MCH100623,Food & Beverage,2026-01-13,72.69,1.79,0.0337
MCH100624,Travel & Hospitality,2024-10-21,7.61,8.28,0.0669
MCH100625,Subscription / SaaS,2024-12-17,64.76,1.75,0.0344
MCH100626,Food & Beverage,2025-10-11,67.78,7.01,0.1205
MCH100627,Digital Goods,2026-05-09,43.53,4.72,0.1526
MCH100628,E-commerce Retail,2024-07-14,71.34,13.65,0.0643
MCH100629,Subscription / SaaS,2025-04-14,15.9,3.0,0.1148
MCH100630,Professional Services,2025-01-05,38.99,2.34,0.008
MCH100631,Marketplace,2024-12-02,111.07,7.37,0.0749
MCH100632,Food & Beverage,2026-01-18,101.49,0.97,0.0211
MCH100633,Food & Beverage,2026-05-25,63.31,1.58,0.1195
MCH100634,E-commerce Retail,2025-10-14,15.13,0.46,0.0304
MCH100635,Food & Beverage,2024-09-13,12.93,0.7,0.0636
MCH100636,Food & Beverage,2025-04-03,41.04,16.83,0.0322
MCH100637,Subscription / SaaS,2026-04-06,43.85,4.92,0.1027
MCH100638,Subscription / SaaS,2025-06-08,33.1,0.62,0.0491
MCH100639,Subscription / SaaS,2025-08-29,16.37,8.12,0.081
MCH100640,E-commerce Retail,2026-01-22,56.65,1.22,0.0749
MCH100641,Subscription / SaaS,2025-11-23,40.86,4.67,0.0721
MCH100642,E-commerce Retail,2024-12-29,48.9,4.6,0.0739
MCH100643,Subscription / SaaS,2025-10-01,66.25,13.0,0.0491
MCH100644,E-commerce Retail,2024-09-02,27.84,1.44,0.1216
MCH100645,Marketplace,2025-03-17,22.45,1.17,0.112
MCH100646,Travel & Hospitality,2025-01-09,110.78,0.17,0.1263
MCH100647,Professional Services,2026-04-16,17.16,2.18,0.0473
MCH100648,Digital Goods,2026-03-08,22.89,5.08,0.0349
MCH100649,Food & Beverage,2025-08-10,125.74,5.82,0.0144
MCH100650,E-commerce Retail,2024-10-01,21.18,8.61,0.1417
MCH100651,Food & Beverage,2025-09-03,33.16,3.29,0.0122
MCH100652,Travel & Hospitality,2026-04-15,24.24,4.07,0.0632
MCH100653,Digital Goods,2025-09-07,6.15,2.63,0.1869
MCH100654,Food & Beverage,2025-08-08,32.35,4.99,0.0479
MCH100655,E-commerce Retail,2025-09-07,13.32,0.97,0.0803
MCH100656,Subscription / SaaS,2024-10-20,47.21,0.6,0.0407
MCH100657,Subscription / SaaS,2025-07-10,110.57,1.07,0.0188
MCH100658,Professional Services,2024-08-28,5.0,3.05,0.0219
MCH100659,Travel & Hospitality,2024-08-12,24.36,0.67,0.0412
MCH100660,Subscription / SaaS,2025-01-23,57.53,1.31,0.1299
MCH100661,Utilities & Billing,2025-04-22,5.0,1.35,0.0817
MCH100662,Travel & Hospitality,2024-10-26,139.25,5.38,0.046
MCH100663,E-commerce Retail,2025-12-14,53.51,4.76,0.0269
MCH100664,E-commerce Retail,2025-02-07,108.12,2.64,0.0752
MCH100665,E-commerce Retail,2024-12-13,20.82,3.86,0.0162
MCH100666,Subscription / SaaS,2026-04-04,23.49,3.94,0.0848
MCH100667,E-commerce Retail,2024-12-03,31.16,1.71,0.2379
MCH100668,E-commerce Retail,2024-12-31,310.51,1.43,0.0362
MCH100669,Subscription / SaaS,2024-09-28,136.74,11.44,0.0211
MCH100670,E-commerce Retail,2024-10-02,41.78,0.2,0.0348
MCH100671,Marketplace,2024-07-13,47.2,1.17,0.1184
MCH100672,E-commerce Retail,2025-09-11,69.06,2.01,0.0895
MCH100673,Food & Beverage,2025-12-20,400.04,4.31,0.0207
MCH100674,Food & Beverage,2026-02-07,53.66,7.66,0.0074
MCH100675,Utilities & Billing,2024-11-27,38.32,15.75,0.0489
MCH100676,E-commerce Retail,2026-04-21,26.09,2.24,0.0244
MCH100677,Food & Beverage,2024-07-08,46.29,2.4,0.0622
MCH100678,Utilities & Billing,2024-07-29,20.35,3.53,0.0403
MCH100679,Marketplace,2025-04-22,60.1,1.45,0.0315
MCH100680,Digital Goods,2026-04-01,8.74,0.75,0.1358
MCH100681,Subscription / SaaS,2025-06-05,28.21,2.23,0.0181
MCH100682,E-commerce Retail,2026-03-20,76.3,5.18,0.0116
MCH100683,Professional Services,2025-09-12,52.94,1.93,0.0356
MCH100684,Marketplace,2024-11-21,23.04,3.72,0.0219
MCH100685,Travel & Hospitality,2025-12-01,29.02,0.38,0.1198
MCH100686,Travel & Hospitality,2024-08-14,103.06,2.51,0.1717
MCH100687,Subscription / SaaS,2025-02-24,10.91,1.64,0.198
MCH100688,Digital Goods,2024-12-02,10.97,0.69,0.0836
MCH100689,E-commerce Retail,2024-12-28,14.45,4.75,0.1436
MCH100690,Subscription / SaaS,2025-01-31,36.21,15.57,0.0442
MCH100691,Food & Beverage,2024-09-26,9.42,6.62,0.0888
MCH100692,Food & Beverage,2025-03-13,94.92,7.06,0.0636
MCH100693,Subscription / SaaS,2025-11-23,14.52,5.02,0.0448
MCH100694,E-commerce Retail,2024-09-11,45.8,4.69,0.0057
MCH100695,Travel & Hospitality,2024-12-26,20.51,0.41,0.157
MCH100696,Subscription / SaaS,2025-01-28,34.28,2.16,0.0631
MCH100697,Travel & Hospitality,2025-02-19,7.36,4.09,0.0393
MCH100698,E-commerce Retail,2025-10-08,99.62,4.18,0.0535
MCH100699,Food & Beverage,2025-02-08,13.99,8.77,0.0128
MCH100700,Food & Beverage,2026-03-23,12.6,0.88,0.0324
MCH100701,E-commerce Retail,2025-03-21,395.05,4.51,0.082
MCH100702,Subscription / SaaS,2025-01-23,63.71,0.85,0.1696
MCH100703,E-commerce Retail,2026-02-27,95.81,1.99,0.0704
MCH100704,E-commerce Retail,2025-07-01,57.91,2.31,0.1491
MCH100705,Utilities & Billing,2025-04-02,23.28,5.83,0.0239
MCH100706,Subscription / SaaS,2025-07-15,9.91,5.18,0.1004
MCH100707,Digital Goods,2025-05-05,27.14,2.77,0.0871
MCH100708,Subscription / SaaS,2026-03-23,13.76,0.29,0.0164
MCH100709,Professional Services,2025-03-25,14.61,3.84,0.0557
MCH100710,Digital Goods,2024-09-02,7.51,1.88,0.1585
MCH100711,Travel & Hospitality,2025-06-15,41.04,9.89,0.0964
MCH100712,Food & Beverage,2025-11-06,176.52,7.8,0.0462
MCH100713,Food & Beverage,2025-12-05,63.95,0.96,0.0594
MCH100714,Subscription / SaaS,2024-10-06,32.92,4.4,0.1643
MCH100715,Marketplace,2024-09-09,35.14,4.49,0.0242
MCH100716,Digital Goods,2025-06-29,5.0,4.18,0.042
MCH100717,Utilities & Billing,2026-01-21,23.95,3.67,0.0486
MCH100718,E-commerce Retail,2025-04-02,8.79,4.62,0.0427
MCH100719,Professional Services,2024-08-19,41.86,11.04,0.0434
MCH100720,Marketplace,2025-06-23,28.22,1.42,0.0278
MCH100721,E-commerce Retail,2026-01-15,15.34,0.99,0.1349
MCH100722,E-commerce Retail,2025-10-28,40.93,5.38,0.0262
MCH100723,Digital Goods,2024-09-22,40.58,0.37,0.0272
MCH100724,Travel & Hospitality,2026-03-30,167.11,4.73,0.0095
MCH100725,Marketplace,2026-02-04,72.71,3.96,0.0593
MCH100726,E-commerce Retail,2025-04-22,45.47,0.24,0.06
MCH100727,Digital Goods,2025-02-21,14.19,1.3,0.1081
MCH100728,E-commerce Retail,2024-08-25,12.51,11.89,0.114
MCH100729,E-commerce Retail,2025-06-25,66.61,0.57,0.0789
MCH100730,E-commerce Retail,2024-10-18,29.96,3.04,0.0459
MCH100731,Digital Goods,2025-01-08,46.96,0.9,0.0636
MCH100732,Professional Services,2024-10-01,97.32,1.21,0.0071
MCH100733,Food & Beverage,2026-01-19,8.06,16.72,0.0522
MCH100734,Subscription / SaaS,2024-08-29,147.97,2.78,0.0356
MCH100735,Marketplace,2026-04-11,96.48,4.12,0.0818
MCH100736,Food & Beverage,2024-08-08,5.0,2.2,0.0166
MCH100737,Digital Goods,2025-12-22,384.94,0.54,0.124
MCH100738,Food & Beverage,2024-08-18,50.47,0.75,0.0666
MCH100739,Subscription / SaaS,2025-08-24,22.68,7.99,0.041
MCH100740,Food & Beverage,2026-03-29,61.5,2.87,0.0315
MCH100741,Subscription / SaaS,2024-07-13,13.77,1.14,0.0832
MCH100742,Digital Goods,2024-08-05,63.19,2.41,0.1861
MCH100743,Food & Beverage,2024-10-09,16.55,4.77,0.0128
MCH100744,E-commerce Retail,2024-09-24,275.99,3.87,0.0222
MCH100745,Marketplace,2025-11-28,38.87,1.14,0.1098
MCH100746,Food & Beverage,2025-02-08,70.09,0.51,0.0211
MCH100747,Travel & Hospitality,2025-06-03,16.68,1.64,0.1457
MCH100748,Marketplace,2024-12-13,82.81,7.46,0.0545
MCH100749,Professional Services,2025-07-18,36.14,5.78,0.0504
MCH100750,E-commerce Retail,2025-07-11,8.92,3.71,0.0707
MCH100751,Marketplace,2025-10-14,28.82,2.07,0.0908
MCH100752,Professional Services,2026-04-03,252.42,1.47,0.0284
MCH100753,Subscription / SaaS,2024-07-31,86.4,2.11,0.2067
MCH100754,E-commerce Retail,2025-07-10,25.05,5.38,0.0421
MCH100755,Digital Goods,2024-07-11,5.65,6.75,0.1195
MCH100756,Professional Services,2025-04-28,15.92,1.89,0.1052
MCH100757,Food & Beverage,2024-10-04,8.97,31.07,0.0291
MCH100758,Marketplace,2025-01-06,5.78,2.7,0.042
MCH100759,Digital Goods,2025-09-26,80.29,1.74,0.0607
MCH100760,E-commerce Retail,2025-01-08,38.95,10.76,0.0867
MCH100761,Subscription / SaaS,2025-10-29,220.33,0.32,0.1396
MCH100762,Subscription / SaaS,2025-03-23,13.5,3.98,0.0186
MCH100763,Digital Goods,2025-08-28,36.51,2.29,0.26
MCH100764,E-commerce Retail,2024-11-05,9.08,10.47,0.1716
MCH100765,Travel & Hospitality,2025-02-23,20.19,4.5,0.0452
MCH100766,Digital Goods,2025-06-20,29.31,2.83,0.079
MCH100767,Marketplace,2024-10-20,25.16,4.77,0.0395
MCH100768,Subscription / SaaS,2025-09-19,38.61,0.86,0.0611
MCH100769,Digital Goods,2025-06-08,96.7,6.47,0.0878
MCH100770,E-commerce Retail,2024-11-22,87.04,0.64,0.0759
MCH100771,Marketplace,2024-09-03,16.96,3.52,0.0709
MCH100772,E-commerce Retail,2025-03-04,35.5,2.55,0.0806
MCH100773,Food & Beverage,2025-11-02,80.97,0.42,0.0461
MCH100774,Digital Goods,2025-09-12,103.1,2.64,0.1451
MCH100775,E-commerce Retail,2024-10-14,18.89,3.26,0.0351
MCH100776,E-commerce Retail,2024-12-28,74.3,1.28,0.0104
MCH100777,Professional Services,2024-12-31,50.97,0.89,0.0067
MCH100778,Professional Services,2025-02-11,12.6,4.02,0.0568
MCH100779,Professional Services,2024-09-27,81.46,3.53,0.0257
MCH100780,Professional Services,2026-05-19,42.59,3.09,0.036
MCH100781,Travel & Hospitality,2025-12-12,6.41,2.48,0.1458
MCH100782,Subscription / SaaS,2025-07-06,27.28,1.4,0.1064
MCH100783,Subscription / SaaS,2025-08-03,38.09,23.86,0.0843
MCH100784,E-commerce Retail,2024-10-14,19.97,1.83,0.0431
MCH100785,Marketplace,2025-03-28,124.99,1.04,0.0245
MCH100786,Travel & Hospitality,2025-11-15,129.6,2.6,0.2482
MCH100787,Food & Beverage,2026-05-10,24.97,2.05,0.0537
MCH100788,Food & Beverage,2025-12-07,22.37,1.78,0.0214
MCH100789,Utilities & Billing,2024-08-01,32.1,16.03,0.0275
MCH100790,E-commerce Retail,2025-07-28,29.96,0.79,0.0564
MCH100791,Travel & Hospitality,2024-08-09,20.24,2.55,0.0592
MCH100792,Food & Beverage,2026-04-21,5.0,0.85,0.0793
MCH100793,Travel & Hospitality,2025-02-03,211.62,1.43,0.1169
MCH100794,E-commerce Retail,2024-09-20,36.61,13.96,0.0706
MCH100795,Marketplace,2025-01-17,30.62,3.26,0.0304
MCH100796,Marketplace,2025-09-20,50.66,3.22,0.0632
MCH100797,Travel & Hospitality,2025-09-01,33.78,0.96,0.021
MCH100798,Professional Services,2024-08-07,23.8,1.61,0.0658
MCH100799,Marketplace,2025-01-27,13.39,15.23,0.0438
MCH100800,Professional Services,2025-09-17,5.82,4.05,0.0555
MCH100801,E-commerce Retail,2025-05-23,9.45,1.75,0.0309
MCH100802,Travel & Hospitality,2025-02-12,11.98,3.82,0.0191
MCH100803,Travel & Hospitality,2024-08-17,70.17,3.21,0.02
MCH100804,Food & Beverage,2024-07-18,75.54,1.06,0.063
MCH100805,Professional Services,2025-09-12,15.15,1.7,0.069
MCH100806,Marketplace,2025-01-03,5.0,23.44,0.0407
MCH100807,Marketplace,2025-06-10,36.93,3.64,0.0172
MCH100808,Food & Beverage,2025-02-09,24.01,0.51,0.0476
MCH100809,E-commerce Retail,2025-10-31,23.42,4.1,0.0536
MCH100810,Utilities & Billing,2025-02-14,95.2,9.05,0.0632
MCH100811,Digital Goods,2025-07-25,42.04,1.0,0.1069
MCH100812,E-commerce Retail,2026-02-09,13.79,1.56,0.0478
MCH100813,Marketplace,2025-01-04,10.95,10.53,0.0439
MCH100814,Marketplace,2025-03-27,28.15,2.55,0.0409
MCH100815,Food & Beverage,2026-02-27,14.78,2.13,0.0139
